""	"SRR12534940"	"SRR12534942"	"SRR12534944"	"SRR12534946"	"SRR12534964"	"SRR12534966"	"SRR12534968"	"SRR12534970"
"ap1g1"	1524	1590	1571	1306	1758	1531	1600	1078
"ap1g2"	1823	1557	1370	1296	1173	1043	1093	1000
"ap1m2"	915	835	860	843	820	736	784	607
"ap1s1"	449	351	323	345	421	348	412	338
"ap1s2"	151	191	156	136	156	197	219	159
"ap1s3"	306	287	286	270	284	269	279	204
"ap2a"	1	2	0	0	1	2	0	3
"ap2a1"	1824	1906	1864	1727	2210	1949	2085	1671
"ap2b1"	446	438	582	501	503	644	641	570
"ap2m1"	3684	3857	3247	3328	3376	3010	3020	2895
"ap2s1"	1732	1386	1005	1489	1181	1197	1047	902
"ap3m1"	632	579	476	505	542	539	471	644
"ap3m2"	1332	1500	1290	1445	1477	818	1377	905
"ap3s2"	251	137	129	163	283	246	247	199
"ap4b1"	501	398	382	278	569	466	453	398
"ap4e1"	2423	2266	2350	2336	2702	2167	2415	1773
"ap4m1"	991	1319	1224	1035	802	723	722	590
"ap4s1"	232	210	221	198	209	152	122	154
"ap5b1"	2467	2677	2442	2272	2316	2318	2368	1412
"ap5m1"	1732	1960	1718	1808	1611	1377	1663	1134
"ap5s1"	324	335	360	424	380	321	390	242
"ap5z1"	8	1	4	2	8	5	8	12
"ap5z1_1"	32	20	37	49	22	32	6	25
"apaf1"	717	792	757	749	751	781	854	825
"apba1"	2071	2445	2081	2293	2156	1873	2171	1650
"apba1a"	13	175	119	12	26	112	16	64
"apba2b"	291	186	116	279	29	167	125	101
"apbb1ip"	18	36	38	35	102	203	110	482
"apbp2"	23	20	18	19	11	22	23	18
"apc"	4360	4252	4050	3305	4398	3821	3900	2988
"apc2"	3	2	4	4	5	5	4	2
"apeh"	1322	1205	847	1153	1253	1268	1116	1197
"apex1"	35	30	31	60	24	26	41	27
"apex2"	11622	10158	8699	10118	8383	7751	8720	6081
"aph1b"	1586	1267	1342	1619	1328	1070	1291	885
"api5"	850	1069	1016	803	1093	1375	1353	1104
"apip"	1133	835	879	995	835	739	751	572
"apja"	249	340	278	353	478	689	522	509
