""	"SRR12534940"	"SRR12534942"	"SRR12534944"	"SRR12534946"	"SRR12534964"	"SRR12534966"	"SRR12534968"	"SRR12534970"
"LOC106612598"	1538	1578	1454	1425	1564	1538	1710	1324
"LOC106612599"	28	59	55	49	149	295	70	588
"LOC106612600"	815	989	800	734	756	709	818	562
"LOC106612601"	5604	5527	4686	5208	4998	5028	4114	4107
"LOC106612603"	5172	4880	4108	4162	4809	4773	4636	3880
"LOC106612604"	14	22	31	7	20	28	39	18
"LOC106612605"	3311	1515	1706	2024	1527	1148	1266	1044
"LOC106612606"	1942	2015	1687	1958	1752	1817	1807	1687
"LOC106612607"	716	975	693	768	796	1007	909	1049
"LOC106612608"	85	48	61	79	29	49	80	36
"LOC106612609"	5	2	7	11	12	23	8	8
"LOC106612610"	23	33	19	22	35	72	29	87
"LOC106612612"	61	27	30	19	27	53	15	21
"LOC106612613"	3937	2985	2297	3128	2820	2711	2518	2370
"LOC106612614"	1060	1613	1383	1286	1316	1498	1561	1274
"LOC106612615"	116	171	141	155	179	138	191	159
"LOC106612616"	0	0	0	1	0	1	0	0
"LOC106612617"	3	8	2	7	0	9	7	5
"LOC106612618"	15	22	10	22	22	56	24	188
"LOC106612619"	2385	2461	2358	2405	2654	2375	2905	1725
"LOC106612621"	153	84	111	73	118	174	181	131
"LOC106612622"	2599	3194	2784	3025	2823	2528	3320	1933
"LOC106612623"	5159	4409	4168	4589	4345	3605	4597	3003
"LOC106612624"	7	9	11	6	23	22	15	22
"LOC106612625"	191	289	260	166	284	286	255	227
"LOC106612626"	2	0	1	2	0	3	9	1
"LOC106612628"	0	0	0	0	0	0	0	0
"LOC106612629"	1544	1559	1603	1591	1257	1013	1238	979
"LOC106612630"	314	399	352	403	371	358	392	315
"LOC106612632"	36	46	41	40	68	146	73	118
"LOC106612633"	464	374	239	395	550	1325	430	1211
"LOC106612634"	17	16	11	15	15	33	19	31
"LOC106612635"	1358	1069	1052	1179	1469	1284	1480	1068
"LOC106612636"	1495	1471	1585	1586	1428	1125	1428	1078
"LOC106612637"	385	460	408	408	666	985	847	967
"LOC106612638"	13	8	9	9	19	24	22	26
"LOC106612639"	508	628	541	558	561	506	614	373
"LOC106612640"	2544	2302	2385	2007	2492	1878	2472	2018
"LOC106612641"	1	1	1	3	5	1	3	4
"LOC106612642"	20	15	14	8	38	25	31	23
"LOC106612643"	6	6	69	10	4	2	4	1
"LOC106612644"	2	1	0	0	0	1	0	1
"LOC106612645"	6	0	0	2	5	1	0	0
"LOC106612646"	27	34	18	14	29	25	24	12
"LOC106612647"	0	0	1	0	0	2	2	2
"LOC106612648"	804	688	740	700	864	674	839	554
"LOC106612649"	7	4	8	6	3	3	8	9
"LOC106612650"	1286	1056	1112	974	982	820	1094	547
"LOC106612651"	7	10	10	17	12	43	15	24
"LOC106612652"	246	324	308	270	222	412	332	545
"LOC106612653"	14	41	41	28	48	50	38	109
"LOC106612654"	1	7	7	2	17	20	8	72
"LOC106612655"	1702	2139	1785	1875	2247	2058	2048	1646
"LOC106612656"	6	10	16	24	58	68	53	146
"LOC106612657"	7	14	14	12	69	194	77	202
"LOC106612658"	1338	993	945	1200	1021	807	725	805
"LOC106612660"	5024	4013	3593	4483	3686	3448	3513	2796
"LOC106612661"	402	334	304	265	291	365	446	214
"LOC106612663"	27	16	31	19	11	7	18	9
"LOC106612664"	1208	993	961	1248	931	874	882	734
"LOC106612665"	13	12	9	13	20	35	18	49
"LOC106612666"	21	16	19	20	22	60	38	118
"LOC106612668"	4483	4870	4257	4102	3734	3935	4741	3045
"LOC106612669"	1806	1613	1966	1737	1461	1167	1069	700
"LOC106612670"	0	0	1	0	0	0	0	0
"LOC106612671"	326	285	252	283	262	225	182	97
"LOC106612672"	6	0	5	6	4	7	2	3
"LOC106612673"	19	21	21	27	21	57	37	47
"LOC106612676"	45	87	82	120	86	63	13	13
"LOC106612677"	1634	1482	1190	1029	1652	1444	1743	1429
"LOC106612678"	0	0	0	0	0	0	0	0
"LOC106612680"	4824	4329	3591	4170	4093	3727	4038	3059
"LOC106612682"	10	9	20	15	16	22	17	29
"LOC106612684"	2974	2683	2273	2911	2436	2304	2534	1777
"LOC106612686"	13	6	10	8	10	15	13	13
"LOC106612687"	1338	1298	1187	1538	1262	1321	1240	1252
"LOC106612688"	3842	3801	3649	3992	3436	2936	3598	2222
"LOC106612689"	10	13	11	9	18	15	18	13
"LOC106612691"	112	20	30	31	33	20	109	16
"LOC106612692"	0	4	3	3	6	0	1	0
"LOC106612694"	4	8	4	5	6	7	4	17
"LOC106612695"	2393	1798	2087	1918	1683	1617	1708	1458
"LOC106612696"	3	1	1	5	7	22	12	23
"LOC106612697"	1087	904	898	828	925	766	918	629
"LOC106612699"	5	4	2	1	1	3	2	4
"LOC106612700"	2888	2902	2686	3191	2729	2455	2833	2277
"LOC106612701"	40	28	35	18	40	33	47	33
"LOC106612702"	797	441	474	320	535	346	649	231
"LOC106612703"	862	568	749	591	483	245	594	247
"LOC106612704"	34	52	36	32	67	53	55	49
"LOC106612705"	133	383	125	461	336	296	184	258
"LOC106612708"	109	73	69	39	76	88	99	116
"LOC106612709"	744	680	768	589	740	597	800	535
"LOC106612710"	0	0	2	0	0	0	1	0
"LOC106612711"	69	59	64	69	132	278	151	178
"LOC106612713"	2	11	12	3	7	13	5	20
"LOC106612714"	2866	1582	1974	1922	1770	1265	1663	975
"LOC106612716"	1323	965	1126	1082	501	651	1555	812
"LOC106612717"	1	0	5	3	4	2	4	1
"LOC106612719"	32	50	40	50	33	47	47	47
"LOC106612720"	423	481	466	475	503	483	606	417
"LOC106612721"	2236	1653	1453	2087	1519	1483	1512	1196
"LOC106612723"	3042	3016	2796	2571	2604	2490	3014	1883
"LOC106612724"	75	52	53	44	57	18	48	26
"LOC106612725"	0	1	0	1	0	0	0	0
"LOC106612727"	5	3	3	2	5	3	3	11
"LOC106612728"	11	11	14	2	6	10	18	5
"LOC106612729"	3	0	2	2	1	2	5	0
"LOC106612730"	0	0	0	0	0	0	1	0
"LOC106612733"	1	1	1	0	2	3	0	25
"LOC106612734"	1	2	0	0	0	0	1	2
"LOC106612735"	1	1	3	2	0	0	0	2
"LOC106612737"	2	1	0	0	0	0	0	1
"LOC106612740"	83	13	13	14	4	25	95	26
"LOC106612744"	1	8	7	2	10	38	5	103
"LOC106612745"	163	184	122	168	164	187	231	142
"LOC106612747"	129	112	76	152	111	181	111	117
"LOC106612752"	0	0	0	0	0	0	0	0
"LOC106612753"	0	0	0	0	0	0	0	0
"LOC106612757"	13	2	5	7	2	5	3	1
"LOC106612758"	32	16	11	20	24	22	36	33
"LOC106612759"	108	41	69	48	16	48	55	46
"LOC106612760"	0	0	0	0	1	0	0	0
"LOC106612761"	0	0	0	0	0	0	1	0
"LOC106612764"	0	0	0	0	0	0	0	0
"LOC106612769"	0	3	0	0	0	0	0	0
"LOC106612770"	0	0	0	0	0	0	1	0
"LOC106612771"	0	0	0	0	0	0	0	0
"LOC106612772"	0	1	0	0	0	0	0	0
"LOC106612774"	0	0	0	0	0	0	0	0
"LOC106612776"	0	0	1	1	1	0	0	1
"LOC106612778"	232	294	212	234	272	428	235	370
"LOC106612779"	24	33	22	33	25	42	41	60
"LOC106612781"	11	9	18	13	22	28	24	33
"LOC106612784"	3939	4315	3833	3444	4666	3856	4426	3288
"LOC106612785"	363	391	360	675	317	368	401	494
"LOC106612786"	808	596	626	798	672	534	536	495
"LOC106612787"	32	22	34	37	25	40	35	47
"LOC106612788"	335	236	218	270	183	190	316	158
"LOC106612789"	1408	1320	1130	1347	1291	1279	1141	985
"LOC106612790"	1	0	0	0	0	1	0	0
"LOC106612791"	917	909	854	824	997	844	955	714
"LOC106612792"	5106	3926	3589	3670	3609	3085	3184	2677
"LOC106612793"	7	4	5	7	7	6	5	4
"LOC106612794"	342	492	386	326	582	799	434	642
"LOC106612796"	222	163	197	195	125	126	158	121
"LOC106612797"	37	41	32	53	98	140	95	207
"LOC106612799"	466	347	267	291	213	360	287	247
"LOC106612801"	8	2	1	3	3	1	1	1
"LOC106612802"	121	200	173	117	181	162	162	137
"LOC106612803"	27	24	19	15	28	23	15	17
"LOC106612804"	373	342	256	278	317	299	304	179
"LOC106612807"	34	25	42	52	25	30	31	22
"LOC106612808"	169	175	152	167	166	177	192	207
"LOC106612809"	7	20	6	5	19	17	19	36
"LOC106612810"	1631	1566	1212	1425	1852	1677	1310	1188
"LOC106612812"	91	29	33	42	5	28	12	51
"LOC106612813"	2223	2193	2382	1601	2491	2236	2377	1419
"LOC106612814"	1049	954	901	871	1066	839	924	707
"LOC106612815"	492	441	364	432	343	279	381	258
"LOC106612816"	378	216	230	486	371	244	590	356
"LOC106612817"	3	8	0	4	8	20	10	15
"LOC106612818"	768	691	552	657	678	755	610	628
"LOC106612819"	0	0	0	1	0	0	0	1
"LOC106612821"	0	0	2	1	0	0	0	0
"LOC106612824"	3	1	0	0	0	0	0	0
"LOC106612825"	2	5	1	5	31	12	9	10
"LOC106612826"	77	120	73	66	136	261	106	229
"LOC106612827"	5737	5599	5027	5635	4961	4862	4894	4463
"LOC106612828"	12	7	9	15	11	17	10	22
"LOC106612829"	284	294	328	249	242	357	255	283
"LOC106612830"	954	1201	1148	1053	1238	1453	1613	1276
"LOC106612831"	245	157	150	221	598	1533	261	434
"LOC106612832"	0	0	2	0	0	0	0	0
"LOC106612833"	165	139	119	118	162	176	205	149
"LOC106612834"	3033	2562	2517	2281	2159	2183	2677	1509
"LOC106612835"	853	788	752	777	710	861	922	742
"LOC106612837"	3049	2886	3187	2673	3322	2463	3210	2132
"LOC106612838"	19	15	24	32	11	7	22	19
"LOC106612839"	0	1	0	0	3	0	0	1
"LOC106612840"	1445	1005	901	929	1067	928	1032	749
"LOC106612842"	9	17	12	17	20	51	41	71
"LOC106612846"	0	0	0	0	0	0	1	0
"LOC106612848"	853	962	651	635	736	814	690	628
"LOC106612850"	2	2	4	4	0	2	1	0
"LOC106612851"	0	0	1	0	0	0	2	1
"LOC106612852"	1	1	2	1	2	2	1	4
"LOC106612853"	0	0	0	0	0	1	1	1
"LOC106612854"	3	7	1	3	9	18	6	15
"LOC106612855"	2873	2233	2178	2123	2173	1745	2035	1677
"LOC106612856"	18	35	21	17	60	118	69	184
"LOC106612859"	77	109	103	120	194	222	174	259
"LOC106612860"	1135	1060	927	2036	390	1066	993	454
"LOC106612862"	432	359	255	241	358	422	462	377
"LOC106612863"	799	873	750	780	745	640	826	547
"LOC106612865"	60	70	38	63	98	185	158	189
"LOC106612866"	5	0	8	2	1	6	5	17
"LOC106612867"	93	128	83	78	160	123	139	148
"LOC106612868"	17	28	36	32	50	91	56	93
"LOC106612869"	1055	886	819	930	820	784	810	608
"LOC106612870"	549	720	649	825	1498	3594	1133	6000
"LOC106612871"	619	577	523	593	524	519	691	456
"LOC106612873"	24	55	27	15	72	111	69	104
"LOC106612875"	535	564	758	651	1038	883	1251	927
"LOC106612876"	30	16	41	26	19	98	62	239
"LOC106612880"	0	0	0	0	1	0	0	0
"LOC106612881"	162	106	239	177	118	94	129	90
"LOC106612882"	62	56	68	56	69	196	84	93
"LOC106612883"	2523	2042	1698	2287	2492	2153	2057	2335
"LOC106612884"	41	38	31	34	45	42	37	27
"LOC106612886"	1005	884	865	1014	918	887	707	748
"LOC106612887"	507	554	501	436	738	578	525	486
"LOC106612889"	14	6	3	8	9	9	10	7
"LOC106612890"	17	20	24	11	53	51	47	67
"LOC106612891"	952	879	816	932	827	922	800	799
"LOC106612892"	67	82	27	74	60	67	62	42
"LOC106612894"	230	215	167	137	256	214	320	211
"LOC106612895"	11	2	1	3	4	6	2	6
"LOC106612896"	11	7	11	8	23	10	8	11
"LOC106612897"	381	436	424	376	400	373	464	330
"LOC106612898"	4644	5421	4103	5129	5305	8087	5505	8734
"LOC106612901"	1132	917	925	1033	1110	1054	1180	823
"LOC106612902"	249	69	47	87	246	259	232	586
"LOC106612904"	86	154	135	140	348	553	317	691
"LOC106612907"	942	569	640	632	814	755	761	834
"LOC106612909"	0	0	0	0	2	0	0	6
"LOC106612911"	26	52	12	31	34	23	22	18
"LOC106612913"	23	52	42	37	52	88	80	78
"LOC106612916"	0	0	0	0	0	2	0	0
"LOC106612917"	1	0	2	0	0	0	1	1
"LOC106612918"	0	2	1	3	0	8	6	14
"LOC106612920"	3	1	1	5	10	5	13	4
"LOC106612922"	0	0	0	0	0	0	0	0
"LOC106612925"	0	0	0	0	0	0	0	0
"LOC106612928"	306	129	142	135	106	140	150	55
"LOC106612930"	8	1	1	1	0	2	1	1
"LOC106612932"	0	1	5	0	0	0	0	0
"LOC106612933"	1669	1646	1357	1584	967	1497	1510	1218
"LOC106612935"	46	63	40	42	32	54	37	45
"LOC106612938"	317	165	210	322	150	112	188	101
"LOC106612940"	1	0	3	0	0	0	3	0
"LOC106612941"	3772	3379	3047	3224	3330	3062	3326	2253
"LOC106612942"	894	960	935	1022	879	1002	960	669
"LOC106612943"	0	0	1	0	0	1	1	3
"LOC106612953"	1	3	7	5	4	1	3	2
"LOC106612954"	739	678	789	719	848	717	1059	726
"LOC106612955"	2144	301	1152	2114	162	174	902	189
"LOC106612956"	781	597	510	651	543	530	598	393
"LOC106612958"	0	0	1	0	2	0	6	1
"LOC106612959"	244	264	221	186	167	242	216	204
"LOC106612961"	3032	2411	2504	2870	2055	2055	2468	1996
"LOC106612962"	220	191	277	173	182	244	209	248
"LOC106612963"	7	12	15	8	8	13	12	14
"LOC106612964"	6	2	8	8	7	6	4	3
"LOC106612965"	39	24	35	67	108	180	146	179
"LOC106612966"	45	35	46	41	70	164	109	158
"LOC106612967"	2	6	8	3	3	7	7	7
"LOC106612968"	0	0	0	0	1	0	0	0
"LOC106612969"	19	20	7	4	17	14	14	12
"LOC106612970"	1201	51	1317	2655	56	63	1053	50
"LOC106612971"	5	4	3	6	4	11	12	20
"LOC106612972"	238	335	197	132	204	165	251	172
"LOC106612974"	5	4	10	10	13	14	8	12
"LOC106612975"	5	13	8	5	31	31	7	26
"LOC106612977"	388	384	282	350	353	318	325	236
"LOC106612978"	3425	3341	3322	2742	3531	3019	3361	2439
"LOC106612979"	2	4	2	8	3	2	2	5
"LOC106612981"	2	0	2	4	2	3	7	5
"LOC106612982"	400	417	343	382	327	390	314	328
"LOC106612983"	7466	7434	5486	8975	8987	12544	7017	13687
"LOC106612984"	1973	1759	1804	1287	2092	1832	1797	1462
"LOC106612985"	0	8	3	1	3	3	6	17
"LOC106612986"	318	337	373	474	485	616	667	769
"LOC106612987"	3536	3325	2897	2844	3146	3011	2881	2217
"LOC106612988"	63	30	36	20	18	24	19	30
"LOC106612989"	189	425	309	288	308	258	188	201
"LOC106612990"	305	383	183	341	529	360	281	542
"LOC106612991"	0	1	3	0	2	0	2	0
"LOC106612992"	16	15	13	18	18	38	19	14
"LOC106612993"	197	153	205	253	397	1	162	3
"LOC106612996"	2971	2609	2701	3099	2798	1631	2046	1461
"LOC106612997"	3353	3284	2696	3152	2753	2464	2881	2312
"LOC106613000"	1747	2012	1398	1808	1347	1780	1470	1204
"LOC106613001"	5593	5305	5334	4602	5880	4496	6104	4228
"LOC106613002"	582	526	523	592	613	533	625	464
"LOC106613003"	2	0	0	0	0	1	0	2
"LOC106613004"	4	3	3	4	4	2	0	0
"LOC106613007"	2132	2157	1853	2207	1799	1468	1589	1249
"LOC106613008"	1415	1637	1357	1210	1847	1552	1646	1279
"LOC106613009"	40	46	34	52	92	112	77	187
"LOC106613010"	926	974	715	668	1069	621	872	548
"LOC106613012"	563	458	428	570	399	298	646	219
"LOC106613014"	291	1073	1006	920	1344	779	1102	702
"LOC106613016"	772	705	414	444	1394	718	792	363
"LOC106613017"	449	443	405	438	538	455	486	436
"LOC106613018"	538	459	362	497	397	381	372	326
"LOC106613020"	2	3	5	3	11	5	2	2
"LOC106613021"	6	4	5	3	7	11	23	10
"LOC106613022"	3472	3575	3815	3410	4427	3442	4065	2769
"LOC106613023"	6	4	16	6	7	8	8	19
"LOC106613025"	8	10	12	10	13	21	16	29
"LOC106613026"	37	29	24	16	19	18	26	34
"LOC106613028"	15	33	19	53	59	9	15	7
"LOC106613029"	1	1	0	2	1	1	1	0
"LOC106613030"	39	28	35	29	38	44	30	33
"LOC106613031"	6	51	60	7	65	2	3	0
"LOC106613033"	1629	1741	1931	1761	1367	1336	1715	882
"LOC106613034"	664	890	716	435	1066	647	755	464
"LOC106613035"	67	49	56	91	23	24	58	17
"LOC106613037"	659	718	584	539	955	907	1073	764
"LOC106613039"	42	58	49	42	85	88	124	115
"LOC106613040"	298	329	249	243	356	282	350	227
"LOC106613045"	68	50	38	43	34	52	30	12
"LOC106613048"	0	0	1	0	0	0	0	0
"LOC106613049"	7	0	1	0	1	0	0	0
"LOC106613051"	1	1	2	1	0	2	1	1
"LOC106613052"	2600	2637	2692	2172	2754	2526	2821	2362
"LOC106613054"	1	7	5	1	4	0	0	0
"LOC106613056"	1	0	0	0	0	0	0	0
"LOC106613058"	7	11	4	0	16	41	8	10
"LOC106613059"	11	1	3	4	12	24	22	43
"LOC106613061"	6068	6036	4985	5729	4869	5225	5652	4071
"LOC106613062"	0	0	0	1	0	0	0	0
"LOC106613063"	14	3	5	4	4	7	6	8
"LOC106613064"	2	2	6	4	1	5	7	5
"LOC106613066"	0	0	0	0	0	0	0	0
"LOC106613068"	15	3	6	1	3	2	5	6
"LOC106613069"	3	2	4	1	3	3	2	1
"LOC106613071"	53	69	42	31	59	46	57	51
"LOC106613072"	386	272	264	310	216	225	263	298
"LOC106613073"	0	0	0	0	1	1	0	0
"LOC106613074"	0	4	2	2	1	2	2	4
"LOC106613076"	11	9	14	35	25	60	17	29
"LOC106613080"	821	587	504	747	657	560	636	479
"LOC106613081"	128	133	100	122	123	123	117	110
"LOC106613084"	1740	1473	1628	1140	1569	1447	1620	1332
"LOC106613086"	6	9	11	13	34	70	34	170
"LOC106613087"	0	0	3	1	5	1	0	0
"LOC106613089"	9	4	6	4	3	7	6	5
"LOC106613090"	223	195	273	236	252	284	319	222
"LOC106613091"	119	126	153	131	205	160	222	181
"LOC106613092"	1117	906	920	788	753	624	1030	720
"LOC106613093"	2834	3326	3221	2805	3165	2564	3549	2027
"LOC106613094"	171	99	98	80	116	174	139	145
"LOC106613095"	421	513	310	385	543	1150	630	1832
"LOC106613097"	457	502	409	398	514	442	555	193
"LOC106613099"	85	138	129	90	167	302	291	349
"LOC106613100"	4888	4760	5318	4659	4512	3525	4862	2888
"LOC106613102"	7	3	19	6	5	1	1	6
"LOC106613109"	338	272	319	249	342	289	438	262
"LOC106613110"	2	2	4	5	0	8	1	29
"LOC106613111"	1191	1134	1313	1337	1235	863	1346	684
"LOC106613114"	1	1	1	0	3	3	0	0
"LOC106613115"	3489	3540	2720	2527	3353	3724	3601	2876
"LOC106613116"	2391	2378	2732	2828	2417	2013	2572	1737
"LOC106613117"	2898	3645	3403	2517	3657	2601	2904	2194
"LOC106613118"	52	52	50	51	48	28	55	41
"LOC106613119"	14	9	10	11	7	6	6	5
"LOC106613120"	98	76	101	124	116	53	106	53
"LOC106613122"	104	118	133	77	99	110	100	69
"LOC106613123"	189	184	190	217	246	223	234	145
"LOC106613124"	1237	1124	1039	1165	1206	981	1240	899
"LOC106613125"	69	50	55	40	41	40	39	21
"LOC106613126"	27	20	25	21	17	35	60	68
"LOC106613128"	12	2	4	7	5	1	10	4
"LOC106613129"	1314	1288	1050	1398	1204	1006	1288	799
"LOC106613130"	479	393	488	516	483	387	565	292
"LOC106613131"	157	347	258	161	212	265	217	134
"LOC106613133"	1	0	3	2	0	0	0	1
"LOC106613135"	21	22	22	15	50	50	53	59
"LOC106613137"	1	0	1	1	0	1	1	1
"LOC106613138"	8	4	10	5	10	11	6	15
"LOC106613139"	8	13	10	4	12	0	12	8
"LOC106613141"	1584	1501	1485	1359	1526	1466	1433	1013
"LOC106613144"	32	32	23	33	46	37	61	27
"LOC106613145"	32	28	36	35	31	17	14	51
"LOC106613146"	123	130	140	116	76	84	144	52
"LOC106613147"	231	364	402	544	413	4	270	13
"LOC106613149"	2659	2305	2120	2500	2259	2009	2092	1686
"LOC106613151"	0	0	0	0	0	0	0	0
"LOC106613152"	44	21	29	35	29	14	27	7
"LOC106613153"	89	139	87	91	258	442	230	326
"LOC106613156"	7	7	4	4	8	5	7	6
"LOC106613157"	1	5	1	2	3	3	2	8
"LOC106613163"	0	2	0	0	0	1	2	0
"LOC106613164"	2197	1715	1608	1608	2183	1473	1943	1608
"LOC106613165"	7	7	15	10	8	13	4	20
"LOC106613166"	1	7	3	2	8	21	10	61
"LOC106613167"	1797	1547	1413	1718	1600	1318	1527	1268
"LOC106613169"	1047	1384	848	975	1183	1086	917	709
"LOC106613171"	49	67	35	54	59	72	87	57
"LOC106613172"	447	484	436	377	483	689	582	577
"LOC106613173"	310	321	335	290	483	834	408	464
"LOC106613174"	0	0	0	0	0	0	0	0
"LOC106613175"	0	0	0	0	0	0	0	0
"LOC106613176"	1068	916	986	1110	991	793	979	740
"LOC106613177"	0	0	0	0	0	0	0	0
"LOC106613178"	0	0	0	0	0	0	0	0
"LOC106613181"	5	7	3	1	1	2	13	7
"LOC106613184"	12	8	3	5	11	18	17	20
"LOC106613185"	0	0	0	2	0	0	0	1
"LOC106613186"	0	0	0	0	0	0	0	0
"LOC106613187"	14	21	26	25	55	135	57	244
"LOC106613189"	2	0	2	3	4	10	4	19
"LOC106613190"	10	33	26	27	83	174	83	319
"LOC106613191"	29	29	26	35	88	113	106	113
"LOC106613192"	16	37	35	21	27	36	44	29
"LOC106613193"	0	0	0	0	0	0	0	0
"LOC106613194"	90	61	74	62	63	75	103	66
"LOC106613196"	0	1	0	0	0	0	0	0
"LOC106613197"	0	0	0	0	0	0	0	0
"LOC106613198"	0	0	0	0	0	0	0	0
"LOC106613199"	59	0	54	91	1	0	23	0
"LOC106613200"	178	94	187	319	19	22	148	35
"LOC106613202"	3	0	0	1	0	0	2	1
"LOC106613203"	0	1	0	1	0	0	1	1
"LOC106613204"	0	0	0	1	0	0	0	2
"LOC106613207"	12	26	15	13	22	57	25	82
"LOC106613209"	16	21	27	14	29	35	27	24
"LOC106613212"	1	2	4	0	0	0	1	2
"LOC106613213"	9	1	2	2	1	7	7	13
"LOC106613214"	815	713	678	533	872	858	782	712
"LOC106613218"	140	137	131	129	226	515	327	706
"LOC106613219"	2188	1961	1961	1814	2491	2702	2725	2179
"LOC106613220"	1423	1053	908	1293	973	903	944	645
"LOC106613224"	1390	1100	972	1279	1001	996	910	802
"LOC106613227"	787	674	725	790	758	732	785	497
"LOC106613229"	4848	3979	3942	3640	4298	3971	4177	2864
"LOC106613230"	295	279	225	264	311	224	269	215
"LOC106613232"	12	3	6	2	3	2	5	1
"LOC106613235"	25	26	28	13	37	71	40	89
"LOC106613236"	9	4	3	4	2	8	8	13
"LOC106613241"	1566	1394	1444	1523	1628	1346	1679	969
"LOC106613245"	449	448	658	594	593	606	562	430
"LOC106613246"	328	312	315	334	330	266	261	234
"LOC106613247"	1841	853	1154	1295	1025	970	1262	1040
"LOC106613248"	167	215	180	174	217	182	210	182
"LOC106613249"	2	1	0	0	0	2	3	21
"LOC106613252"	2071	1895	1652	1951	1753	1525	1756	1416
"LOC106613254"	214	134	161	237	279	242	191	263
"LOC106613255"	960	1005	832	996	1050	1230	1014	981
"LOC106613259"	0	0	0	0	0	0	0	0
"LOC106613261"	0	0	1	0	0	0	0	0
"LOC106613262"	0	0	0	0	0	0	0	0
"LOC106613263"	0	0	1	0	1	0	0	0
"LOC106613264"	0	2	0	0	0	0	1	0
"LOC106613266"	0	0	0	0	0	0	0	0
"LOC106613267"	2	1	0	0	0	0	0	0
"LOC106613268"	0	0	0	0	0	0	0	0
"LOC106613269"	0	0	0	0	0	0	0	2
"LOC106613271"	181	208	131	166	177	217	236	210
"LOC106613276"	52	54	33	33	31	35	64	36
"LOC106613281"	0	0	0	0	0	0	1	0
"LOC106613282"	4	9	8	3	5	3	5	4
"LOC106613283"	0	0	0	1	0	0	0	0
"LOC106613286"	73	69	96	80	31	13	21	15
"LOC106613287"	9	4	7	5	4	1	5	2
"LOC106613288"	2	2	0	0	1	0	0	0
"LOC106613289"	421	255	229	247	116	22	246	151
"LOC106613290"	0	0	1	0	0	1	0	0
"LOC106613291"	4	1	0	1	1	0	0	6
"LOC106613293"	220	93	177	87	91	72	132	79
"LOC106613294"	22	10	27	33	15	3	3	3
"LOC106613297"	267	235	117	199	317	158	256	139
"LOC106613300"	1	3	1	3	5	0	2	1
"LOC106613301"	66	20	66	75	174	82	138	110
"LOC106613302"	334	275	301	360	338	295	334	278
"LOC106613303"	55	61	53	54	14	37	42	18
"LOC106613305"	19	4	19	16	12	23	13	11
"LOC106613307"	0	0	1	4	1	1	0	0
"LOC106613308"	746	667	314	412	576	222	402	292
"LOC106613309"	0	0	0	0	0	5	2	21
"LOC106613311"	167	185	7	124	177	480	267	283
"LOC106613312"	257	177	109	172	166	264	222	242
"LOC106613316"	49	44	101	58	100	67	86	78
"LOC106613317"	1	1	1	9	0	2	1	0
"LOC106613321"	0	1	2	0	2	3	2	0
"LOC106613322"	1	1	4	1	0	1	4	0
"LOC106613323"	1440	2005	1376	1499	1578	1587	1098	1172
"LOC106613327"	22	4	19	16	26	34	37	29
"LOC106613330"	0	0	1	1	0	1	0	0
"LOC106613331"	0	2	0	0	0	0	0	0
"LOC106613332"	2	0	1	3	1	0	4	1
"LOC106613334"	0	0	0	0	0	1	0	0
"LOC106613336"	2	1	2	2	2	9	3	6
"LOC106613340"	2776	2206	1905	2302	2039	1991	2164	1498
"LOC106613341"	7	17	14	13	40	39	25	36
"LOC106613349"	726	584	545	532	552	507	605	410
"LOC106613351"	11	5	12	2	9	12	7	8
"LOC106613352"	0	0	0	0	0	0	0	0
"LOC106613353"	475	496	439	416	521	513	575	475
"LOC106613354"	0	0	0	0	0	0	0	0
"LOC106613355"	333	327	276	271	344	352	377	301
"LOC106613357"	22	14	9	12	10	6	4	8
"LOC106613358"	284	271	325	286	370	340	440	346
"LOC106613360"	10	9	9	8	12	16	5	9
"LOC106613362"	6	8	8	10	15	11	12	11
"LOC106613363"	1141	910	962	1098	1109	769	1011	773
"LOC106613381"	32	28	41	38	41	23	21	15
"LOC106613395"	1	0	6	0	2	3	0	17
"LOC106613399"	12	14	11	14	24	69	35	46
"LOC106613405"	69	0	63	17	8	19	10	37
"LOC106613407"	195	162	216	198	219	199	234	109
"LOC106613408"	1	2	0	1	4	0	0	0
"LOC106613417"	50	88	55	45	52	114	51	99
"LOC106613422"	16	23	24	12	17	8	22	15
"LOC106613426"	187	130	156	144	71	79	87	44
"LOC106613427"	1	3	3	1	5	1	3	5
"LOC106613438"	288	205	216	255	207	211	229	158
"LOC106613447"	1	8	4	4	2	9	2	3
"LOC106613452"	1292	1312	1127	1408	57	1770	92	130
"LOC106613456"	2	0	3	3	5	2	2	0
"LOC106613457"	1	2	1	1	0	0	3	1
"LOC106613459"	0	0	0	1	1	0	1	0
"LOC106613460"	1	0	0	2	0	1	1	2
"LOC106613461"	982	767	722	819	794	584	746	539
"LOC106613471"	826	678	611	294	253	727	302	322
"LOC106613472"	4	1	5	8	7	6	6	3
"LOC106613473"	4	2	3	0	8	5	6	29
"LOC106613474"	0	3	0	0	0	0	0	0
"LOC106613476"	0	1	0	0	0	0	0	0
"LOC106613480"	20	4	61	25	9	16	8	35
"LOC106613481"	10	32	30	18	35	101	46	83
"LOC106613484"	0	0	3	106	0	1	0	2
"LOC106613485"	958	773	923	765	1252	229	1334	898
"LOC106613487"	2745	2518	2078	2506	2279	2535	2115	2342
"LOC106613488"	420	492	392	452	517	529	524	580
"LOC106613489"	1019	784	692	944	747	637	601	516
